年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
-18000,,5,アルタミラやラスコーなど、洞穴絵画が造られる。,-18000,,欧米,1,,,,,,,,
-14000,,5,人類が陸橋だったベーリング海峡を渡りアメリカ大陸に入る。,-14000,,欧米,1,,,,,,,,
-13500,,5,アメリカ大陸で旧石器文化が存在。メソアメリカ文明,-13500,,欧米,1,,,,,,,,
-10000,,5,新石器時代　農耕・牧畜の始まり。新石器革命,-10000,,欧米,1,,,,,,,,
-10000,,5,長江中流域で稲作農業開始。,-10000,,アジア,1,,中国,,,,,,
-10000,,1,旧石器時代,紀元前1400年頃,,日本,1,,日本,,,,,,
-7000,,5,肥沃な三日月地帯に農耕広がる。メソポタミア文明が興る。,-7000,,欧米,1,,,,,,,,
-6000,,5,潅漑農業　文明の形成。金属器（青銅器）、都市、文字,-6000,,アジア,1,,中国,,,,,,
-5000,,5,黄河中流域黄土地帯に畑作中心の仰韶文化が成立。彩陶など。＝黄河文明,-5000,,アジア,1,,中国,,,,,,
-5000,,5,長江下流に稲作中心の河姆渡遺跡が成立。＝長江文明,-5000,,アジア,1,,中国,,,,,,
-5000,,5,ナイル川流域のエジプトで農耕始まる。,-5000,,欧米,1,,エジプト,,,,,,
-5000,,5,メキシコでトウモロコシの栽培始まる。,-5000,,欧米,1,,南米,,,,,,
-4000,,5,ティグリス・ユーフラテス川流域に都市文明が成立。,-4000,,アジア,1,,中東,,メソポタミア,,,,
-3300,,5,長江下流に稲作中心の良渚文化が成立。黄河文明、長江文明を合わせて中国文明としている。,-3300,,アジア,1,,中国,,,,,,
-3000,,5,シュメール人、都市国家を建設。ウル ／ ウルクなどでシュメール文化が成立。,-3000,,アジア,1,,中東,,メソポタミア,,,,
-3000,,5,ノモスが統合され、エジプト文明の形成。,-3000,,欧米,1,,エジプト,,,,,,
-3000,,5,竜山文化　→　黒陶・灰陶,-3000,,アジア,1,,中国,,,,,,
-3000,,5,この間、ギリシア人が南下する。エーゲ海域にエーゲ文明興る。,-3000,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-2650,,5,エジプト古王国の時代となる。都メンフィス,-2650,,欧米,1,,エジプト,,,,,,
-2530,,5,古王国のファラオ、クフ王らがピラミッドを造営。,-2530,,欧米,1,,エジプト,,,,,,
-2500,,5,インダス川流域にインダス文明生まれる。,-1500,,アジア,1,,印,,インダス,,,,
-2300,,5,インダス文明、モエンジョ＝ダーロ、ハラッパーなどに都市文明栄える。,-2300,,アジア,1,,印,,インダス,,,,
-2300,,5,アッカド人のサルゴン１世、メソポタミアを統一。,-2300,,アジア,1,,中東,,メソポタミア,,,,
-2100,,5,ウル第３王朝。シュメール法典が作られる。,-2100,,アジア,1,,中東,,メソポタミア,,,,
-2040,,5,エジプト中王国　都をテーベに遷す。,-2040,,欧米,1,,エジプト,,,,,,
-2000,,5,クレタ島にクレタ文明生まれる。クノッソス遺跡、エヴァンズが発掘。,-2000,,欧米,1,,ギリシア,,,,,,
-2000,,5,中国の二里頭文化。,-2000,,アジア,1,,中国,,,,,,
-1900,,5,アムル人、バビロン第一王朝を築く。都バビロン。,-1900,,アジア,1,,中東,,メソポタミア,,,,
-1800,,5,インダス文明の衰退始まる。,-1800,,アジア,1,,印,,インダス,,,,
-1800,,5,ギリシア人の一派、アカイア人などが南下。,-1800,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-1792,,5,ハンムラビ王即位。在位中にハンムラビ法典を整備。,-1792,,アジア,1,,中東,,メソポタミア,,,,
-1680,,5,ヒッタイト、アナトリアに建国。鉄器を使用。,-1680,,アジア,1,,中東,,メソポタミア,,,,
-1650,,5,エジプトに侵入したヒクソス、第１５王朝を建てる。,-1650,,欧米,1,,エジプト,,,,,,
-1600,,5,ギリシア本土にミケーネ文明興る。ミケーネ遺跡、シュリーマンが発掘。,-1600,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-1600,,5,ミケーネ、ティリンス、ピュロスなどの都市が生まれる。,-1600,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-1600,,5,ギリシアで線文字Ｂが使用され始める(前12世紀まで)。ヴェントリスが解読。,-1600,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-1600,,5,殷（商）興る。　甲骨文字　青銅器の使用。,-1600,,アジア,1,,中国,,,,,,
-1595,,5,ヒッタイトがバビロン第一王朝を滅ぼす。,-1595,,アジア,1,,中東,,,,,,
-1550,,5,カッシート、メソポタミア南部に王国建設。,-1550,,アジア,1,,中東,,メソポタミア,,,,
-1542,,5,エジプト新王国、ヒクソスを撃退。,-1542,,欧米,1,,エジプト,,,,,,
-1500,,5,アーリヤ人がカイバル峠を越えてパンジャーブに移動。先住民ドラヴィダ人を圧迫。,-1500,,アジア,1,,中東:印,,,,,,
-1500,,5,ヴェーダ時代（『リグ＝ヴェーダ』で伝えられる時代）が始まる（～前600年頃まで）。,-1500,,アジア,1,,印,,,,,,
-1486,,5,エジプト新王国のトトメス３世、領土を西アジアに広げる。,-1486,,欧米,1,,エジプト,,,,,,
-1440,,5,ミタンニ、メソポタミア北部で栄える。,-1440,,アジア,1,,中東,,,,,,
-1400,,5,殷、殷墟を都とする。,-1400,,アジア,1,,中国,,,,,,
